timestamp_utc,mode_name,line_id,line_name,status_severity,status_severity_description,reason,disruption_text,created,modified,validity_period_start,validity_period_end
2026-04-21T15:53:22+00:00,tube,bakerloo,Bakerloo,6,Severe Delays,"Bakerloo Line: Service is operating at a reduced frequency between Elephant & Castle and Queen's Park every 8 minutes, and between Queen's Park and Harrow & Wealdstone every 15 minutes due to strike action. Services will finish early tonight so please complete your journey by 20:00. ","Bakerloo Line: Service is operating at a reduced frequency between Elephant & Castle and Queen's Park every 8 minutes, and between Queen's Park and Harrow & Wealdstone every 15 minutes due to strike action. Services will finish early tonight so please complete your journey by 20:00. ",0001-01-01T00:00:00,,2026-04-21T12:33:32Z,2026-04-22T00:29:00Z
2026-04-21T15:53:22+00:00,tube,central,Central,3,Part Suspended,"Central Line: Service is operating at a reduced frequency between White City and Ealing Broadway / West Ruislip every 10 minutes, between Liverpool Street and Leytonstone every 5 minutes and between Leytonstone and Hainault / Epping every 10 minutes.  No service on the rest of the line due to strike action. Services will finish early tonight so please complete your journey by 20:00. ","Central Line: Service is operating at a reduced frequency between White City and Ealing Broadway / West Ruislip every 10 minutes, between Liverpool Street and Leytonstone every 5 minutes and between Leytonstone and Hainault / Epping every 10 minutes.  No service on the rest of the line due to strike action. Services will finish early tonight so please complete your journey by 20:00. ",0001-01-01T00:00:00,,2026-04-21T13:44:23Z,2026-04-21T18:51:45Z
2026-04-21T15:53:22+00:00,tube,circle,Circle,2,Suspended,Circle Line: No service on the entire line due to strike action. Services on other London Underground lines will finish early tonight please complete your journey by 20:00 ,Circle Line: No service on the entire line due to strike action. Services on other London Underground lines will finish early tonight please complete your journey by 20:00 ,0001-01-01T00:00:00,,2026-04-21T12:15:25Z,2026-04-21T18:51:45Z
2026-04-21T15:53:22+00:00,tube,district,District,6,Severe Delays,District Line: Severe delays due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,District Line: Severe delays due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,0001-01-01T00:00:00,,2026-04-21T15:11:17Z,2026-04-22T00:29:00Z
2026-04-21T15:53:22+00:00,dlr,dlr,DLR,10,Good Service,,,0001-01-01T00:00:00,,,
2026-04-21T15:53:22+00:00,elizabeth-line,elizabeth,Elizabeth line,10,Good Service,,,0001-01-01T00:00:00,,,
2026-04-21T15:53:22+00:00,tube,hammersmith-city,Hammersmith & City,3,Part Suspended,Hammersmith and City Line: No service between Liverpool Street and Barking and SEVERE DELAYS on the rest of the line due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,Hammersmith and City Line: No service between Liverpool Street and Barking and SEVERE DELAYS on the rest of the line due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,0001-01-01T00:00:00,,2026-04-21T15:38:13Z,2026-04-21T18:51:45Z
2026-04-21T15:53:22+00:00,tube,jubilee,Jubilee,6,Severe Delays,Jubilee Line: Service is operating at a reduced frequency on the entire line every 6 minutes due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,Jubilee Line: Service is operating at a reduced frequency on the entire line every 6 minutes due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,0001-01-01T00:00:00,,2026-04-21T12:28:45Z,2026-04-22T00:29:00Z
2026-04-21T15:53:22+00:00,overground,liberty,Liberty,10,Good Service,,,0001-01-01T00:00:00,,,
2026-04-21T15:53:22+00:00,overground,lioness,Lioness,10,Good Service,,,0001-01-01T00:00:00,,,
2026-04-21T15:53:22+00:00,tube,metropolitan,Metropolitan,3,Part Suspended,"Metropolitan Line: Service is operating at a reduced frequency due to strike action. Trains are running between Baker Street and Harrow-on-the-Hill, approximately every 10 minutes, between Harrow-on-the-Hill and Uxbridge every 15 minutes, between Harrow-on-the-Hill and Watford every 40 minutes and between Harrow-on-the-Hill and Amersham/Chesham every 30 minutes. No service between Baker Street and Aldgate due to strike action. Services will finish early tonight so please complete your journey by 20:00. ","Metropolitan Line: Service is operating at a reduced frequency due to strike action. Trains are running between Baker Street and Harrow-on-the-Hill, approximately every 10 minutes, between Harrow-on-the-Hill and Uxbridge every 15 minutes, between Harrow-on-the-Hill and Watford every 40 minutes and between Harrow-on-the-Hill and Amersham/Chesham every 30 minutes. No service between Baker Street and Aldgate due to strike action. Services will finish early tonight so please complete your journey by 20:00. ",0001-01-01T00:00:00,,2026-04-21T15:50:38Z,2026-04-21T18:51:45Z
2026-04-21T15:53:22+00:00,overground,mildmay,Mildmay,10,Good Service,,,0001-01-01T00:00:00,,,
2026-04-21T15:53:22+00:00,tube,northern,Northern,9,Minor Delays,Northern Line: Service is operating at a reduced frequency on the entire line every 15 minutes due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,Northern Line: Service is operating at a reduced frequency on the entire line every 15 minutes due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,0001-01-01T00:00:00,,2026-04-21T14:00:48Z,2026-04-22T00:29:00Z
2026-04-21T15:53:22+00:00,tube,piccadilly,Piccadilly,3,Part Suspended,Piccadilly Line: Service is operating at a reduced frequency between Acton Town and Heathrow Terminal 4 via Heathrow Terminals 2 & 3 every 20 minutes. No service on the rest of the line due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,Piccadilly Line: Service is operating at a reduced frequency between Acton Town and Heathrow Terminal 4 via Heathrow Terminals 2 & 3 every 20 minutes. No service on the rest of the line due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,0001-01-01T00:00:00,,2026-04-21T13:50:33Z,2026-04-21T18:51:45Z
2026-04-21T15:53:22+00:00,overground,suffragette,Suffragette,10,Good Service,,,0001-01-01T00:00:00,,,
2026-04-21T15:53:22+00:00,tram,tram,Tram,10,Good Service,,,0001-01-01T00:00:00,,,
2026-04-21T15:53:22+00:00,tube,victoria,Victoria,9,Minor Delays,Victoria Line: Service is operating at a reduced frequency on the entire line every 5 minutes due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,Victoria Line: Service is operating at a reduced frequency on the entire line every 5 minutes due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,0001-01-01T00:00:00,,2026-04-21T12:40:36Z,2026-04-22T00:29:00Z
2026-04-21T15:53:22+00:00,tube,waterloo-city,Waterloo & City,6,Severe Delays,Waterloo and City Line: Service is operating at a reduced frequency every 8 minutes due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,Waterloo and City Line: Service is operating at a reduced frequency every 8 minutes due to strike action. Services will finish early tonight so please complete your journey by 20:00. ,0001-01-01T00:00:00,,2026-04-21T13:32:45Z,2026-04-22T00:29:00Z
2026-04-21T15:53:22+00:00,overground,weaver,Weaver,10,Good Service,,,0001-01-01T00:00:00,,,
2026-04-21T15:53:22+00:00,overground,windrush,Windrush,9,Minor Delays,Windrush Line: Minor delays between Sydenham and West Croydon while we fix a signal failure at Brockley. GOOD SERVICE on the rest of the line. ,Windrush Line: Minor delays between Sydenham and West Croydon while we fix a signal failure at Brockley. GOOD SERVICE on the rest of the line. ,0001-01-01T00:00:00,,2026-04-21T07:03:18Z,2026-04-22T00:29:00Z
